,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,target
628,39,4,4,4,0,1,1,4,0,1
629,39,4,4,5,1,1,1,4,0,1
630,45,4,4,4,1,1,1,4,0,1
631,33,4,4,3,1,1,1,4,0,1
632,39,4,4,3,0,1,1,4,0,1
633,44,4,4,3,1,0,1,4,0,1
634,34,3,3,6,1,1,3,4,0,1
635,33,3,3,5,1,1,3,4,0,1
636,34,2,2,8,1,1,2,2,0,1
637,27,3,2,5,1,1,2,4,0,1
638,47,1,1,8,1,1,3,4,1,1
639,25,2,4,3,1,1,1,4,1,1
640,24,3,4,5,1,1,1,2,1,1
641,41,4,4,4,1,0,1,4,0,1
642,29,3,3,4,1,1,3,4,0,2
643,27,2,2,5,1,1,3,1,0,2
644,40,3,4,5,1,1,1,2,0,2
645,30,2,2,6,1,1,3,1,0,2
646,24,4,4,1,1,0,1,4,0,2
647,36,4,4,2,1,0,1,4,0,2
648,17,2,2,1,1,1,3,2,0,2
649,28,1,2,4,1,1,2,3,0,2
650,27,2,4,1,1,1,1,4,0,2
651,21,3,3,1,1,1,3,3,0,2
652,30,2,2,4,1,1,2,4,0,2
653,48,4,4,16,1,1,1,4,0,2
654,29,2,4,3,1,0,3,3,0,2
655,29,4,4,2,1,1,3,4,0,2
656,20,3,4,2,1,1,1,3,0,2
657,28,4,4,1,1,1,3,2,0,2
658,32,2,3,5,1,0,2,3,0,2
659,27,3,3,1,1,0,3,3,0,2
660,25,2,3,1,1,1,3,1,0,2
661,43,4,4,3,1,1,1,4,0,2
662,35,4,4,2,1,1,2,4,0,2
663,30,4,4,1,1,1,1,4,0,2
664,29,1,4,3,1,1,4,4,1,2
665,33,3,4,8,1,1,3,4,0,2
666,37,3,4,5,1,0,2,4,0,2
667,27,2,4,3,1,1,4,4,0,2
668,33,2,4,3,1,1,2,4,0,2
669,35,2,3,6,1,0,3,3,0,2
670,20,3,3,2,1,1,2,4,0,2
671,26,2,4,3,1,1,3,4,0,2
672,24,3,3,2,1,1,3,3,0,2
673,45,1,3,3,1,1,3,2,0,2
674,34,3,4,4,1,1,1,3,0,2
675,49,4,3,13,1,1,1,4,0,2
676,33,4,4,5,1,1,1,4,0,2
677,33,3,3,8,1,1,3,4,0,2
678,24,3,4,3,1,1,1,4,0,2
679,30,2,2,4,1,1,2,1,0,2
680,27,2,4,4,1,1,2,1,0,2
681,23,4,3,1,1,1,2,2,0,2
682,35,4,4,4,1,1,1,4,0,2
683,35,4,4,1,0,1,1,4,0,2
684,40,4,4,2,0,0,1,4,0,2
685,29,3,3,1,1,1,3,3,0,2
686,33,3,3,3,1,1,3,3,0,2
687,36,4,4,6,0,1,1,2,1,2
688,36,4,4,4,0,1,1,4,0,2
689,41,4,4,1,1,1,3,3,0,2
690,38,3,4,3,1,1,3,2,0,2
691,29,2,4,3,1,1,3,3,0,2
692,19,4,4,1,1,1,1,3,0,2
693,34,2,3,2,1,1,2,3,0,2
694,26,2,4,3,1,1,3,4,0,2
695,22,4,4,1,1,1,2,3,0,2
696,42,4,4,7,1,1,2,4,0,2
697,27,3,4,2,1,1,3,2,0,2
698,27,4,4,2,1,1,1,4,0,2
699,39,4,3,1,1,0,2,2,0,2
700,21,4,4,1,1,1,3,1,0,2
701,36,2,3,7,1,1,3,3,0,2
702,29,1,2,5,1,0,1,2,0,2
703,29,2,3,4,1,1,2,1,0,2
704,22,3,2,2,1,1,2,1,0,2
705,20,2,3,1,1,1,2,1,0,2
706,33,3,4,4,1,0,2,4,0,2
707,27,3,3,3,1,1,2,3,0,2
708,25,4,4,3,1,1,1,4,0,2
709,25,4,3,2,1,1,3,3,0,2
710,32,2,3,4,1,1,3,2,0,2
711,39,3,4,2,1,1,1,3,0,2
712,31,3,3,3,1,1,2,1,1,2
713,26,4,4,4,1,1,3,4,0,2
714,30,3,3,7,1,1,3,4,0,2
715,43,3,3,5,1,0,3,3,0,2
716,34,2,4,4,1,1,3,3,0,2
717,43,4,4,3,1,1,1,4,0,2
718,32,4,4,3,0,1,1,4,0,2
719,41,4,4,5,1,1,1,4,0,2
720,32,4,4,3,0,1,1,4,0,2
721,46,4,4,4,1,1,1,4,0,2
722,40,3,4,3,1,0,1,4,0,2
723,21,4,4,1,1,1,2,3,0,2
724,32,4,4,3,1,1,1,4,0,2
725,25,4,4,1,0,1,3,3,0,2
726,24,4,4,1,1,1,1,3,0,2
727,21,2,3,1,1,0,3,2,0,2
728,22,4,4,1,1,1,3,3,0,2
729,32,4,4,4,1,1,1,3,0,2
730,30,4,4,2,1,0,2,2,0,2
731,25,1,2,2,1,1,2,1,0,2
732,31,3,3,6,0,1,3,1,0,2
733,19,2,4,1,1,1,2,3,0,2
734,33,2,2,7,1,0,2,3,0,2
735,24,2,2,2,1,1,3,4,0,2
736,19,3,3,3,1,1,2,3,0,2
737,27,2,2,5,1,1,3,3,0,2
738,32,4,4,2,0,0,1,4,0,2
739,32,4,4,2,1,0,1,3,0,2
740,29,1,3,5,1,1,3,3,0,2
741,23,3,4,1,1,1,2,3,0,2
742,34,2,4,7,1,1,2,3,0,2
743,27,2,4,1,1,1,3,3,0,2
744,37,4,4,4,1,1,3,2,0,2
745,26,3,4,4,1,1,2,3,0,2
746,31,2,3,7,1,1,3,3,0,2
747,44,4,4,11,1,1,1,4,0,2
748,35,3,4,4,1,1,1,4,0,2
749,23,4,4,2,1,1,3,4,0,2
750,24,2,4,2,1,1,1,4,0,2
751,24,4,4,2,1,1,1,4,0,2
752,39,4,4,3,1,1,2,4,0,2
753,33,3,4,4,1,1,3,3,0,2
754,24,2,3,2,1,1,2,1,0,2
755,35,4,4,4,1,1,1,4,0,2
756,35,4,4,6,1,1,1,4,0,2
757,34,4,4,2,1,1,3,3,0,2
758,48,3,4,3,1,1,2,3,0,2
759,28,4,4,1,1,1,1,3,0,2
760,26,4,4,1,1,1,3,3,0,2
761,43,3,3,8,1,1,1,3,0,2
762,28,2,2,5,1,0,2,4,0,2
763,22,3,4,3,1,1,2,3,0,2
764,26,3,3,3,1,1,3,3,0,2
765,30,3,4,4,1,1,3,3,0,2
766,38,4,4,5,1,1,2,3,0,2
767,44,4,4,8,1,1,2,4,0,2
768,25,4,4,1,0,1,1,4,0,2
769,34,4,4,3,1,1,1,4,0,2
770,26,4,4,3,1,1,3,4,0,2
771,20,4,4,2,1,1,1,3,0,2
772,39,4,4,2,0,1,1,3,0,2
773,27,3,4,4,1,1,3,3,0,2
774,32,4,4,2,1,0,3,4,0,2
775,48,3,4,8,1,0,1,4,0,2
776,39,4,3,4,1,1,3,4,0,2
777,37,4,4,3,1,0,1,4,0,2
778,33,4,4,2,0,0,1,3,0,2
779,32,4,4,3,1,0,1,4,0,2
780,25,4,4,2,1,1,1,3,0,2
781,37,4,4,3,1,1,2,4,0,2
782,40,4,4,4,1,1,1,4,0,2
783,38,4,4,6,1,1,2,4,0,2
784,36,4,4,4,1,1,1,4,0,2
785,27,3,3,3,1,1,2,2,0,2
786,22,1,3,2,1,1,3,1,0,2
787,22,2,2,2,1,1,2,3,0,2
788,30,3,4,3,1,1,2,3,0,2
789,20,2,2,2,1,1,3,2,1,2
790,34,4,4,2,1,1,1,4,0,2
791,31,3,4,5,1,1,3,1,0,2
792,30,3,3,3,1,0,3,2,0,2
793,44,3,4,5,1,0,1,4,0,2
794,24,3,3,3,1,0,2,1,0,2
795,19,4,4,2,1,1,1,4,0,2
796,28,4,4,5,1,1,2,4,0,2
797,27,4,4,1,0,0,1,3,0,2
798,29,3,3,3,1,1,2,1,0,2
799,37,4,4,3,1,1,2,4,0,2
800,32,2,2,8,1,1,2,1,0,2
801,21,2,2,1,1,1,4,3,0,2
802,33,2,3,7,1,0,3,1,0,2
803,23,2,3,2,1,1,3,1,0,2
804,36,2,2,5,1,1,3,4,0,2
805,33,2,4,3,1,1,3,4,0,2
806,35,4,4,2,1,0,1,4,0,2
807,25,2,3,4,1,1,3,3,0,2
808,29,2,4,4,1,0,2,4,0,2
809,23,3,3,1,1,1,2,2,0,2
810,19,3,3,1,1,1,2,1,0,2
811,35,1,2,6,1,1,2,2,1,2
812,25,3,3,3,1,1,3,2,0,2
813,40,3,4,6,1,1,1,3,0,2
814,17,3,4,1,1,1,2,1,0,2
815,25,2,4,3,1,1,3,3,0,2
816,24,3,3,1,1,1,3,2,0,2
817,23,4,4,1,1,1,3,3,0,2
818,25,2,4,3,1,1,3,2,0,2
819,30,1,3,4,1,1,3,4,0,2
820,31,1,1,3,1,1,4,2,1,2
821,26,3,4,2,1,1,3,3,0,2
822,28,3,4,2,1,1,2,3,0,2
823,30,3,3,3,1,1,3,1,0,2
824,29,3,4,5,1,1,1,2,0,2
825,24,1,3,4,1,1,3,3,0,2
826,26,3,4,2,1,1,1,3,0,2
827,25,3,3,3,1,1,3,3,0,2
828,35,4,4,3,1,1,1,4,0,2
829,22,4,4,1,1,0,2,4,0,2
830,19,4,4,1,1,1,2,4,0,2
831,29,2,3,5,1,1,2,4,0,2
832,21,3,4,2,1,1,3,3,0,2
833,21,3,3,1,1,1,3,3,0,2
834,41,1,4,9,1,1,2,1,0,2
835,37,2,4,3,1,1,2,3,0,2
836,27,4,4,3,1,1,3,4,1,2
837,26,2,3,2,1,1,2,3,0,2
838,37,4,4,6,1,0,3,4,0,2
839,25,3,3,3,1,1,2,1,0,2
840,32,4,3,3,1,1,2,4,0,2
841,34,1,4,4,1,1,3,4,1,2
842,23,4,4,2,1,0,2,4,0,2
843,28,3,4,2,1,1,3,4,0,2
844,24,3,4,1,1,1,3,4,0,2
845,32,2,3,4,1,0,2,2,0,2
846,22,1,2,3,1,1,3,1,1,2
847,25,3,3,1,1,1,2,1,0,2
848,25,2,3,2,1,1,2,4,0,2
849,38,2,3,3,1,1,2,4,0,2
850,33,2,2,2,1,1,3,4,0,2
851,41,4,4,8,1,1,1,4,0,2
852,29,3,3,4,1,1,3,4,0,2
853,22,3,4,1,1,0,1,4,0,2
854,29,3,3,6,1,1,3,3,0,2
855,26,3,4,3,1,1,3,3,0,2
856,28,2,3,3,1,1,3,4,0,2
857,27,4,4,1,0,1,3,4,0,2
858,29,2,4,2,1,1,3,2,0,2
859,24,3,4,2,1,1,3,3,0,2
860,29,3,4,3,1,1,3,2,0,2
861,38,3,4,7,1,1,3,2,0,2
862,23,3,2,2,1,0,3,2,0,2
863,20,4,3,1,1,1,3,4,0,2
864,32,1,4,4,1,1,3,2,0,2
865,25,2,3,2,1,1,3,1,0,2
866,26,1,2,3,1,0,3,2,0,2
867,23,1,2,3,1,1,3,2,1,2
868,23,4,4,3,1,1,3,3,0,2
869,28,3,4,5,1,1,2,4,0,2
870,22,4,4,3,1,1,3,2,0,2
871,28,2,4,4,1,1,3,4,0,2
872,26,3,3,3,1,1,3,3,0,2
873,26,2,3,2,1,1,3,3,0,2
874,24,4,3,3,1,1,3,3,0,2
875,29,4,4,3,1,0,1,4,0,2
876,29,3,4,4,1,0,1,3,0,2
877,42,4,4,5,1,1,1,4,0,2
878,27,4,4,2,1,1,3,4,0,2
879,35,3,4,5,1,1,1,4,0,2
880,21,3,4,1,1,1,3,2,0,2
881,21,1,3,1,1,1,3,3,1,2
882,22,3,4,1,1,1,3,3,0,2
883,28,3,3,4,1,1,3,3,0,2
884,22,3,4,1,0,0,1,4,0,2
885,23,3,2,1,1,1,3,3,0,2
886,28,3,3,2,0,1,2,3,0,2
887,30,4,4,3,0,0,2,4,0,2
888,25,3,4,3,1,0,3,4,0,2
889,33,4,4,4,1,1,2,3,0,2
890,33,3,4,6,1,1,3,2,0,2
891,30,4,4,2,0,0,3,3,0,2
892,22,2,4,1,1,1,3,3,0,2
893,38,3,3,2,0,1,3,4,0,2
894,35,4,3,2,0,1,3,4,0,2
895,34,2,2,4,0,1,3,2,0,2
896,39,4,4,2,0,1,3,4,0,2
897,47,4,3,4,1,1,1,3,0,2
898,38,4,4,2,1,0,1,4,0,2
899,43,4,4,5,1,1,1,4,0,2
900,21,3,3,1,1,1,2,2,0,2
901,30,3,4,2,1,1,1,2,0,2
902,27,3,4,2,1,1,1,3,0,2
903,22,4,4,1,0,1,3,1,0,2
904,25,1,2,3,1,1,2,3,0,2
905,22,1,3,2,1,1,3,2,0,2
906,28,4,4,4,1,1,2,3,0,2
907,25,3,3,2,1,1,2,3,0,2
908,26,4,4,2,1,0,3,3,0,2
909,31,3,3,3,1,1,3,1,1,2
910,32,1,3,4,1,1,3,3,0,2
911,35,2,4,6,1,1,3,4,0,2
912,24,2,3,5,1,1,3,3,0,2
913,28,4,4,2,1,1,1,4,0,2
914,36,4,4,3,0,0,2,4,0,2
915,47,4,4,5,1,1,1,3,0,2
916,26,4,4,2,1,0,1,4,0,2
917,22,3,4,2,0,1,3,4,0,2
918,30,4,4,2,1,1,4,3,0,2
919,41,4,4,5,1,1,1,4,0,2
920,19,4,4,1,1,1,3,2,0,2
921,45,3,4,2,0,1,3,3,0,2
922,35,1,2,5,1,1,2,2,1,2
923,21,2,2,1,1,1,3,2,0,2
924,32,1,2,6,0,1,2,3,0,2
925,32,3,4,5,0,1,3,4,0,2
926,46,2,3,6,0,0,3,4,0,2
927,41,1,2,6,1,1,3,3,0,2
928,36,4,4,3,0,1,3,4,0,2
929,37,3,4,3,0,1,3,4,0,2
930,37,3,4,4,0,1,2,4,0,2
931,35,4,4,3,0,1,3,4,0,2
932,29,2,3,4,1,1,3,2,0,2
933,28,4,4,2,0,1,2,4,0,2
934,46,4,4,4,0,1,1,4,0,2
935,34,4,3,3,0,1,2,4,0,2
936,43,3,3,2,0,0,3,4,0,2
937,28,4,4,3,0,0,3,4,0,2
938,28,3,3,3,1,0,2,4,0,2
939,34,4,4,6,1,1,2,2,0,2
940,27,2,4,4,1,1,3,4,0,2
941,36,1,3,6,1,1,3,2,0,2
942,17,2,2,0,1,0,3,2,0,2
943,21,3,3,1,1,1,3,2,0,2
944,25,2,2,1,1,1,3,1,0,2
945,23,2,3,2,1,0,3,2,0,2
946,25,2,2,1,1,1,3,3,0,2
947,35,1,2,4,1,0,4,4,0,2
948,32,3,4,4,1,1,3,2,0,2
949,37,2,3,5,1,1,4,2,0,2
950,31,3,4,4,1,0,3,3,0,2
951,25,3,4,3,1,1,3,4,0,2
952,26,3,4,4,1,1,2,4,0,2
953,39,1,2,2,1,0,2,4,0,2
954,21,3,3,2,1,1,2,3,0,2
955,35,3,2,9,1,0,3,4,0,2
956,20,2,2,1,1,1,3,2,0,2
957,40,2,3,5,1,1,3,3,0,2
958,41,3,3,7,0,1,2,4,0,2
959,36,2,4,8,1,1,1,4,0,2
960,40,2,4,3,0,1,3,4,0,2
961,32,4,4,3,1,0,1,4,0,2
962,24,3,4,4,1,1,2,3,0,2
963,20,3,4,1,0,1,2,4,0,2
964,32,4,4,4,1,0,1,4,0,2
965,22,2,2,3,1,0,3,3,0,2
966,30,3,3,4,1,0,2,2,0,2
967,31,4,4,3,1,0,1,4,0,2
968,35,3,4,5,1,1,1,4,0,2
969,38,4,4,2,1,1,3,4,0,2
970,31,4,4,1,1,1,1,4,0,2
971,25,4,4,2,1,1,2,4,0,2
972,30,4,4,2,1,1,1,4,0,2
973,22,1,2,2,1,1,3,4,0,2
974,31,4,4,3,1,1,1,4,0,2
975,29,4,4,3,1,1,3,4,0,2
976,29,2,3,3,1,0,3,2,0,2
977,38,4,4,3,0,0,3,3,1,2
978,22,3,4,2,1,1,2,4,0,2
979,45,4,4,3,1,1,1,4,0,2
980,26,3,4,3,1,1,3,2,0,2
981,37,4,4,3,0,1,3,4,0,2
982,36,4,4,3,0,1,2,4,0,2
983,33,4,4,2,1,1,2,4,0,2
984,32,4,4,3,1,0,1,4,0,2
985,35,4,4,4,0,0,1,4,0,2
986,25,4,4,1,1,1,1,4,0,2
987,31,4,4,3,1,1,4,4,0,2
988,25,2,3,5,1,1,2,3,0,2
989,26,3,2,5,1,1,2,2,0,2
990,23,2,3,3,1,1,2,3,0,2
991,28,3,4,3,1,1,1,4,0,2
992,34,3,4,3,0,0,3,4,0,2
993,46,3,4,9,1,1,3,4,0,2
994,25,4,4,1,1,1,1,4,0,2
995,21,2,1,3,1,0,3,1,1,2
996,25,2,3,4,1,0,3,2,0,2
997,28,2,3,6,1,1,2,4,0,2
998,36,2,4,11,1,1,1,4,1,2
999,46,1,2,9,1,0,3,4,1,2
1000,35,2,2,6,1,0,3,1,1,0
1001,41,3,2,11,1,1,2,3,0,0
1002,27,2,4,1,1,0,1,1,0,0
1003,25,4,4,0,1,0,3,4,0,0
1004,23,2,2,2,1,1,3,3,0,0
1005,48,1,1,1,1,0,3,3,1,0
1006,23,4,4,0,1,0,1,4,0,0
1007,31,3,4,2,1,1,3,3,0,0
1008,49,4,4,1,1,1,3,4,0,0
1009,42,2,3,2,1,1,1,4,0,0
1010,26,2,4,3,1,1,3,4,0,0
1011,21,2,2,1,1,1,3,2,0,0
1012,29,3,4,4,1,1,1,4,0,0
1013,38,1,2,12,1,1,2,3,0,0
1014,25,4,4,2,1,1,3,2,0,0
1015,22,4,4,0,1,1,3,2,0,0
1016,20,3,4,0,1,1,3,3,0,0
1017,35,4,4,1,1,1,1,3,0,0
1018,32,2,3,1,1,1,3,3,0,0
1019,38,2,4,3,1,1,1,3,0,0
1020,27,1,2,4,1,1,1,4,1,0
1021,41,2,4,1,1,1,2,3,0,0
1022,28,3,4,0,1,0,1,3,0,0
1023,23,4,4,1,1,0,3,3,0,0
1024,27,4,4,1,0,0,2,4,0,0
1025,33,4,4,2,0,1,1,4,0,0
1026,39,2,2,5,1,0,3,2,1,0
1027,41,2,2,5,0,1,2,2,0,0
1028,40,2,2,8,1,1,1,3,0,0
1029,43,3,4,10,1,1,3,3,0,0
1030,35,3,4,6,1,0,2,2,0,0
1031,32,3,4,0,1,1,3,4,0,0
1032,49,2,3,4,1,1,2,3,0,0
1033,47,2,2,4,1,1,3,1,0,0
1034,42,4,4,1,1,1,2,4,0,0
1035,48,4,4,4,0,1,1,4,0,0
1036,42,4,4,3,1,1,1,4,0,0
1037,37,4,4,2,1,1,1,4,0,0
1038,23,3,3,1,1,0,2,4,0,0
1039,24,3,4,0,1,0,2,3,0,0
1040,43,2,3,3,0,1,2,3,0,0
1041,24,3,3,2,1,0,3,2,0,0
1042,29,2,4,0,1,0,3,4,0,0
1043,45,1,1,0,0,0,2,1,0,0
1044,31,4,4,3,1,0,2,3,0,0
1045,44,1,4,9,1,1,1,2,0,0
1046,28,2,3,1,1,1,3,1,0,0
1047,28,3,4,1,0,1,2,2,0,0
1048,33,1,2,0,1,0,3,3,0,0
1049,43,4,4,6,1,1,1,3,0,0
1050,34,3,4,4,1,1,1,3,0,0
1051,36,1,4,2,1,1,2,2,0,0
1052,22,4,4,0,1,0,2,4,0,0
1053,35,2,3,8,1,1,3,3,1,0
1054,25,4,4,1,1,1,1,4,0,0
1055,43,1,2,8,1,1,2,2,1,0
1056,46,1,4,8,1,1,1,4,1,0
1057,27,3,4,2,1,1,1,3,0,0
1058,30,1,1,7,1,1,2,3,0,0
1059,25,4,4,1,1,1,3,4,0,0
1060,42,4,4,1,1,0,1,4,0,0
1061,30,1,3,1,1,1,3,4,0,0
1062,27,3,3,4,1,1,2,4,0,0
1063,45,2,3,11,1,1,2,3,0,0
1064,29,3,4,2,1,1,1,3,0,0
1065,36,1,4,1,1,1,3,3,0,0
1066,49,1,2,8,1,1,3,1,1,0
1067,47,1,4,7,1,1,2,3,0,0
1068,30,4,4,4,1,1,2,4,0,0
1069,24,2,3,2,1,1,3,1,0,0
1070,48,1,1,6,1,1,2,3,1,0
1071,47,1,2,2,1,1,2,3,1,0
1072,24,3,4,1,1,0,3,3,0,0
1073,48,3,4,5,1,1,2,3,0,0
1074,38,1,2,8,1,1,3,3,1,0
1075,45,3,4,0,1,1,1,3,0,0
1076,43,4,4,3,0,1,2,4,0,0
1077,33,1,1,5,1,1,3,1,1,0
1078,37,3,4,7,1,1,3,4,0,0
1079,36,2,1,6,1,1,2,3,0,0
1080,25,3,4,3,1,1,1,1,0,0
1081,49,4,4,6,0,0,1,4,0,0
1082,30,4,4,1,1,0,1,4,0,0
1083,35,4,4,5,1,1,1,4,0,0
1084,28,2,4,0,1,1,3,1,0,0
1085,30,4,2,0,1,0,3,3,0,0
1086,27,4,4,2,1,0,1,4,0,0
1087,45,2,4,8,1,1,2,3,0,0
1088,46,3,1,5,1,1,3,2,0,0
1089,28,1,4,0,1,0,4,1,0,0
1090,21,2,4,0,1,1,2,2,0,0
1091,20,3,4,2,1,1,3,3,0,0
1092,28,3,3,5,1,1,3,3,0,0
1093,25,3,3,1,1,1,2,2,0,0
1094,38,1,2,6,1,1,2,1,1,0
1095,20,3,4,1,1,1,3,2,0,0
1096,24,3,4,2,1,1,2,4,0,0
1097,39,3,1,1,1,1,2,3,0,0
1098,25,1,3,1,1,1,4,2,0,0
1099,23,3,4,4,1,1,3,1,1,0
1100,24,4,4,1,1,0,1,3,0,0
1101,26,4,4,3,1,1,1,4,0,0
1102,20,3,4,2,1,1,3,2,0,0
1103,31,3,3,1,1,0,3,4,0,0
1104,22,4,4,0,1,1,2,1,1,0
1105,36,2,3,6,1,1,2,3,0,0
1106,45,3,4,0,1,1,1,3,0,0
1107,47,2,2,7,1,1,2,2,0,0
1108,30,2,3,1,1,1,2,1,0,0
1109,35,4,4,3,1,1,1,4,0,0
1110,34,2,2,9,1,0,2,3,0,0
1111,28,4,4,1,1,0,1,3,0,0
1112,18,3,4,1,1,1,3,3,0,0
1113,25,2,3,2,1,1,3,2,0,0
1114,27,3,4,0,1,0,3,3,0,0
1115,21,4,4,1,1,1,3,4,0,0
1116,19,4,4,1,1,1,1,3,0,0
1117,26,4,4,0,1,1,3,4,0,0
1118,28,4,4,5,1,1,1,4,0,0
1119,38,1,3,4,1,0,2,2,0,0
1120,39,2,3,10,1,1,3,4,0,0
1121,45,2,3,6,1,1,3,2,1,0
1122,30,3,4,4,0,1,2,3,0,0
1123,47,2,4,2,1,1,3,2,1,0
1124,38,2,2,6,1,1,3,4,0,0
1125,42,3,3,5,1,1,2,2,0,0
1126,31,4,4,2,1,1,1,2,0,0
1127,44,1,2,2,1,1,3,1,0,0
1128,42,4,4,3,1,0,1,4,0,0
1129,28,4,4,2,1,1,1,3,0,0
1130,34,2,4,6,1,0,3,4,0,0
1131,45,1,3,7,1,0,1,3,0,0
1132,43,4,4,5,1,1,1,3,0,0
1133,28,3,4,0,1,0,3,4,0,0
1134,27,3,4,0,1,1,3,3,0,0
1135,26,2,3,1,1,0,4,4,0,0
1136,26,3,4,1,0,1,2,2,0,0
1137,37,3,4,4,1,0,2,4,0,0
1138,48,3,4,11,1,1,1,4,0,0
1139,47,2,3,12,1,1,3,1,0,0
1140,22,2,4,1,1,1,3,4,0,0
1141,48,4,4,1,0,1,1,4,0,0
1142,42,1,3,12,1,1,2,4,0,0
1143,32,4,4,3,1,1,1,4,0,0
1144,33,4,4,3,0,0,1,3,0,0
1145,45,4,4,1,1,0,1,4,0,0
1146,26,2,3,1,1,0,3,4,1,0
1147,45,4,4,1,1,1,1,4,0,0
1148,25,3,3,1,1,0,2,4,0,0
1149,36,4,3,3,1,0,3,2,0,0
1150,31,3,3,2,1,0,3,3,0,0
1151,22,3,4,2,1,1,3,3,0,0
1152,46,4,4,10,1,1,1,3,0,0
1153,26,2,3,3,1,1,3,4,0,0
1154,25,3,2,1,1,0,3,3,0,0
1155,20,4,4,0,0,0,2,4,0,0
1156,31,3,4,3,0,0,2,4,0,0
1157,36,3,3,3,0,0,2,3,1,0
1158,47,3,2,5,1,1,4,4,0,0
1159,43,3,4,2,0,1,3,4,0,0
1160,20,3,4,0,1,1,3,3,0,0
1161,24,4,4,4,1,1,1,4,0,0
1162,33,2,2,3,0,0,2,4,0,0
1163,41,3,4,3,0,1,2,4,0,0
1164,48,3,4,4,0,1,2,4,0,0
1165,32,4,4,1,0,1,1,4,0,0
1166,38,3,3,4,0,0,3,2,1,0
1167,48,3,4,8,1,1,3,3,0,0
1168,34,1,3,4,1,0,3,4,0,0
1169,31,1,1,6,1,1,3,2,0,0
1170,46,1,2,7,1,1,3,1,1,0
1171,45,2,2,7,1,1,3,1,1,0
1172,34,3,4,4,0,1,3,1,1,0
1173,16,2,4,1,1,1,3,4,0,0
1174,18,3,2,1,1,1,3,1,0,0
1175,22,2,2,1,1,1,3,1,1,0
1176,32,2,2,2,1,1,2,4,0,0
1177,41,1,3,3,1,0,2,4,0,0
1178,22,3,3,2,1,1,2,4,0,0
1179,23,3,2,0,1,1,2,2,0,0
1180,22,3,4,0,1,0,3,4,0,0
1181,40,2,2,6,1,1,2,2,1,0
1182,29,3,4,1,0,1,2,3,0,0
1183,42,4,4,0,0,0,3,4,0,0
1184,29,3,4,2,1,1,3,4,0,0
1185,31,3,2,1,1,1,3,4,0,0
1186,28,4,4,3,0,0,1,4,0,0
1187,21,2,3,0,1,1,3,4,0,0
1188,26,4,4,2,1,1,1,3,0,0
1189,37,3,4,0,1,1,3,4,0,0
1190,24,3,4,2,1,1,2,2,0,0
1191,25,4,4,0,0,1,2,4,0,0
1192,22,2,1,0,1,1,2,2,0,0
1193,45,4,4,1,1,1,1,4,0,0
1194,47,4,4,1,1,1,1,4,0,0
1195,28,4,4,5,1,0,3,4,0,0
1196,24,2,2,4,1,1,3,4,0,0
1197,34,3,3,6,1,1,2,3,0,0
1198,47,2,3,5,1,1,1,1,0,0
1199,31,3,4,2,1,1,1,4,0,0
1200,26,1,3,1,1,1,3,1,0,0
1201,25,4,4,3,1,1,1,2,0,0
1202,47,1,1,4,1,1,2,2,0,0
1203,48,1,1,8,1,1,1,1,1,0
1204,38,2,2,10,1,1,3,2,0,0
1205,32,1,3,4,1,1,2,2,1,0
1206,47,1,2,2,1,1,2,4,0,0
1207,27,4,4,3,1,1,1,4,0,0
1208,40,1,1,0,1,1,3,2,0,0
1209,46,4,4,6,1,1,1,4,0,0
1210,33,3,3,3,1,1,3,4,0,0
1211,49,1,2,5,1,0,2,2,1,0
1212,21,2,4,3,1,1,3,2,0,0
1213,31,4,4,0,0,0,2,4,0,0
1214,42,4,4,4,1,1,3,4,0,1
1215,35,4,4,3,1,1,1,4,0,1
1216,31,4,4,4,1,1,3,3,0,1
1217,42,4,4,6,1,1,1,3,0,1
1218,49,3,4,4,1,1,3,4,0,1
1219,21,4,4,1,1,1,1,3,0,1
1220,28,3,4,3,1,1,1,4,0,1
1221,22,4,4,1,1,1,1,3,0,1
1222,36,4,4,3,1,0,1,4,0,1
1223,45,2,2,9,1,1,3,3,0,1
1224,40,4,4,4,1,1,1,4,0,1
1225,30,2,2,7,1,1,3,4,0,1
1226,35,4,4,5,1,0,1,4,0,1
1227,26,2,4,2,1,1,1,4,0,1
1228,45,4,4,3,1,1,1,4,0,1
1229,27,3,3,2,1,1,3,4,0,1
1230,32,4,4,4,1,1,1,2,0,1
1231,27,4,4,3,1,1,1,3,0,1
1232,28,4,4,2,0,1,1,4,0,1
1233,30,4,4,3,1,1,2,1,0,1
1234,34,4,4,4,1,1,2,4,0,1
1235,26,3,4,3,1,1,2,3,0,1
1236,44,1,4,2,1,1,1,3,0,1
1237,29,4,4,3,1,1,1,4,0,1
1238,26,3,4,2,1,1,3,3,0,1
1239,41,4,4,8,1,1,1,4,0,1
1240,32,3,3,4,1,0,3,3,0,1
1241,23,3,1,1,1,0,3,3,0,1
1242,38,2,3,4,1,1,1,2,0,1
1243,22,4,4,1,1,0,2,2,0,1
1244,34,3,4,3,0,1,1,4,0,1
1245,38,3,4,7,0,1,2,3,0,1
1246,21,4,4,1,1,1,1,4,0,1
1247,43,1,3,4,1,1,1,4,0,1
1248,44,3,3,9,1,1,1,1,0,1
