,surgery,Age,Hospital_Number,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,rectal_examination_-_feces,abdomen,abdominocentesis_appearance,outcome,site_of_lesion,type_of_lesion,subtype_of_lesion,pathology_cp_data,target
297,1,1,529386,3,0,1,1,4,0,4,2,2,0,0,0,0,3205,0,0,2,1
298,1,1,530612,0,0,2,1,1,1,4,3,2,1,5,2,2,2208,0,0,1,1
299,1,1,534618,1,1,0,2,3,2,3,0,0,1,2,3,1,6112,0,0,2,0
300,0,1,528626,1,2,6,0,1,0,2,2,1,3,1,0,2,3111,0,0,1,0
301,0,1,527950,1,1,4,1,3,1,3,0,0,3,3,3,2,3111,0,0,1,0
302,1,1,535263,1,3,2,0,0,0,0,1,2,0,0,2,2,3205,0,0,2,1
303,1,1,534523,0,2,1,0,4,0,4,1,2,3,3,2,1,2205,2208,0,2,0
304,0,1,528926,0,1,2,1,5,2,2,0,0,3,1,0,2,3111,0,0,2,0
305,1,1,534922,0,1,4,1,3,0,3,3,1,3,0,0,2,3111,0,0,2,1
306,0,1,527642,0,4,6,1,1,4,2,2,1,2,2,0,2,0,0,0,2,0
307,0,1,5279820,4,2,6,1,1,2,2,2,0,4,3,3,2,0,0,0,1,0
308,2,1,534790,1,2,1,0,2,2,3,0,0,3,0,0,3,3111,3205,0,2,1
309,0,1,5275210,0,0,2,0,2,1,2,2,2,0,3,2,2,2205,0,0,1,1
310,0,1,5278330,0,2,5,1,2,0,1,1,1,3,5,1,0,2208,0,0,1,1
311,0,1,528959,0,2,2,0,1,1,1,3,3,1,5,1,2,1124,0,0,1,0
312,1,1,534921,1,1,1,0,0,0,0,1,2,3,0,0,0,6112,0,0,2,0
313,1,1,528999,0,0,2,1,0,0,0,2,1,1,0,2,0,3205,0,0,1,1
314,0,1,528067,2,2,2,1,1,2,1,2,2,0,0,1,2,3124,0,0,1,0
315,0,9,5291330,2,2,6,1,5,1,1,3,0,3,3,3,2,0,0,0,1,0
316,1,1,529478,4,0,4,1,2,0,4,3,1,1,0,0,2,5111,0,0,2,1
317,0,1,529991,0,2,4,1,2,3,3,1,2,0,1,3,2,7111,0,0,1,0
318,1,1,530033,4,0,2,1,4,1,4,0,0,3,3,3,0,2205,0,0,2,1
319,0,9,5299050,3,3,1,0,0,0,0,0,0,3,3,0,0,1400,0,0,2,1
320,1,1,534497,1,1,3,0,4,0,4,1,0,1,0,0,1,3205,0,0,2,1
321,1,1,528369,0,0,1,0,0,0,4,2,2,1,5,1,2,3209,0,0,1,1
322,0,1,530107,0,2,2,1,1,4,4,2,2,3,0,3,2,3124,0,0,1,1
323,1,1,530239,0,2,5,0,4,1,4,2,3,1,5,2,0,6111,0,0,2,1
324,1,1,530505,3,1,1,0,0,1,2,1,3,3,5,0,0,2209,0,0,1,1
325,0,1,529567,2,2,4,1,5,1,2,0,0,2,4,0,2,0,0,0,2,0
326,0,1,529597,4,2,2,1,1,1,2,0,0,2,4,0,2,0,0,0,2,0
327,0,1,534429,4,2,2,1,5,1,1,2,2,0,0,3,2,0,0,0,2,0
328,1,1,529629,2,1,2,1,2,3,2,1,2,1,5,1,2,2206,0,0,1,1
329,0,1,528382,2,2,4,2,1,4,2,1,2,0,4,0,2,400,0,0,2,0
330,1,1,534898,1,2,4,2,2,1,3,0,0,1,5,0,2,2113,0,0,2,1
331,0,1,529615,2,2,4,1,3,3,2,2,2,1,4,0,2,0,0,0,2,0
332,1,1,526090,3,0,5,0,2,0,4,2,3,3,3,2,2,5110,0,0,2,0
333,1,1,529765,4,0,6,1,0,1,4,1,1,2,0,1,2,3205,0,0,1,1
334,0,1,528310,1,1,3,2,3,2,3,0,0,3,3,0,0,2300,0,0,2,0
335,1,1,529925,0,0,2,1,3,2,3,0,0,3,3,0,2,2111,0,0,2,1
336,1,1,527807,0,2,4,1,2,1,4,1,3,1,5,1,0,2113,0,0,1,1
337,1,1,5281440,2,2,4,1,5,3,2,0,0,2,2,1,2,31110,0,0,1,1
338,0,1,530695,2,2,4,1,1,1,1,0,0,3,3,1,2,3111,0,0,1,0
339,0,1,533889,2,2,2,1,5,1,2,0,0,2,3,3,2,0,0,0,2,0
340,0,1,533815,0,0,2,2,3,3,2,2,2,1,3,1,2,0,0,0,2,0
341,0,1,527664,0,0,6,0,2,0,2,2,0,1,3,0,2,0,0,0,2,0
342,1,1,5262540,2,2,2,1,3,0,2,2,2,2,5,3,2,2208,0,0,2,1
343,1,1,528268,4,2,6,1,2,1,4,0,3,1,0,0,2,3209,0,0,2,1
344,0,1,528919,3,0,3,0,2,0,4,1,2,1,0,1,1,3205,0,0,1,1
345,1,1,527494,4,1,1,1,1,2,4,0,1,0,5,1,2,7111,0,0,1,1
346,0,1,529980,0,1,2,0,2,4,2,0,0,3,4,2,2,400,0,0,2,0
347,1,1,533954,0,0,2,1,4,0,4,2,2,0,0,2,2,4206,0,0,2,1
348,1,1,5281090,0,2,4,0,5,3,2,0,0,1,1,2,2,2208,0,0,2,1
349,1,1,534686,0,2,4,1,4,1,2,0,0,0,3,0,2,3111,0,0,2,1
350,1,1,534475,0,2,1,1,2,1,4,0,3,1,5,2,1,2209,3205,0,2,1
351,1,9,5274920,3,3,3,2,1,1,4,0,0,2,3,2,0,1400,0,0,1,1
352,0,1,533815,2,2,2,1,2,1,1,1,1,0,3,0,1,4124,0,0,2,0
353,1,1,534156,4,1,2,1,2,1,3,0,0,3,3,0,1,7113,0,0,2,1
354,1,1,514279,2,2,4,1,5,4,2,1,2,2,0,0,2,31110,0,0,1,1
355,0,1,528433,1,1,4,1,3,2,3,0,0,3,3,0,2,0,0,0,2,1
356,0,1,527465,0,1,4,1,1,0,4,2,1,1,0,1,2,7111,0,0,1,1
357,1,1,534268,3,0,0,0,2,0,2,0,0,3,3,2,2,8405,0,0,2,1
358,1,1,535337,0,2,2,1,4,3,2,1,2,3,3,0,1,4206,0,0,2,1
359,1,1,534111,2,2,2,1,1,1,4,2,3,1,0,0,2,6112,0,0,2,1
360,1,1,530576,2,2,1,1,0,1,4,0,3,3,3,3,2,2209,0,0,1,1
361,0,1,529930,0,2,4,1,5,3,1,2,2,0,1,1,2,3113,0,0,2,0
362,1,9,5274920,3,3,3,2,1,1,4,0,0,2,3,2,0,2205,0,0,1,1
363,0,1,529695,2,2,2,1,4,4,1,1,2,3,3,3,2,3205,0,0,2,1
364,0,1,528452,2,2,4,1,5,1,2,0,0,0,4,0,2,4124,0,0,2,0
365,1,1,534783,2,2,6,1,2,3,2,1,2,2,5,2,1,2209,0,0,2,1
366,0,1,528926,0,1,2,1,5,3,2,0,0,3,2,0,2,3111,0,0,2,0
367,0,1,530670,0,2,4,1,1,1,1,1,3,3,3,0,0,2112,0,0,2,1
