,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,target
380,2,0,1,2,2,0,2,1,1,1,2,1,0,1,1,0,1
381,2,0,1,2,0,0,1,1,1,0,2,1,0,0,0,1,1
382,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1
383,2,0,1,2,0,0,0,1,1,0,2,1,2,1,0,0,1
384,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1
385,2,0,0,2,0,0,0,0,0,1,2,0,0,0,1,2,1
386,0,2,1,2,0,0,0,1,0,1,2,1,2,1,0,1,1
387,2,0,1,2,0,0,0,1,1,1,2,1,2,0,0,1,1
388,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
389,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1
390,1,2,0,2,1,0,2,0,0,1,2,0,2,0,0,1,1
391,2,0,0,2,2,1,0,1,1,1,2,1,2,1,1,2,1
392,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
393,1,2,2,1,2,0,0,1,1,1,1,0,0,1,0,1,0
394,2,0,2,1,1,0,0,0,0,1,2,1,0,1,0,0,1
395,2,0,1,1,2,1,0,1,0,1,2,2,2,1,1,0,1
396,2,0,1,2,0,0,0,1,0,1,2,1,0,1,1,0,1
397,2,0,0,2,0,2,0,0,0,1,2,1,0,0,0,0,1
398,0,0,1,2,0,0,0,1,0,1,1,1,2,1,0,0,1
399,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
400,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,1,0
401,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
402,1,1,1,0,2,0,1,1,1,0,1,0,2,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0
404,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
405,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
406,2,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,1
407,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1
408,2,1,1,2,2,0,1,1,1,1,1,0,1,0,1,0,1
409,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
410,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
411,2,1,1,2,2,0,1,1,1,0,2,1,2,1,0,0,1
412,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
413,2,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0
414,2,0,1,2,2,1,1,1,1,1,1,1,2,1,0,0,1
415,0,0,1,2,2,0,1,1,2,0,1,1,2,1,0,0,1
416,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
417,2,0,1,2,2,1,1,1,1,0,2,1,0,1,0,0,1
418,2,0,1,2,2,1,1,1,0,0,1,1,2,1,0,0,1
419,2,0,1,2,2,1,1,1,1,1,1,1,2,1,0,0,1
420,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
421,0,0,1,2,0,0,1,1,0,1,2,1,0,1,1,0,1
422,0,1,1,2,2,0,1,1,1,1,2,1,2,1,1,0,1
423,0,0,1,2,2,0,1,1,1,1,2,1,2,0,1,0,1
424,0,0,1,2,2,2,1,1,1,0,2,1,1,0,1,0,1
425,0,1,1,2,2,1,1,1,0,0,2,1,2,1,1,1,1
426,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,0,1
427,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
428,1,2,2,2,2,1,1,1,1,0,1,1,0,1,1,0,1
429,2,1,1,2,1,1,1,1,1,0,1,0,2,2,1,0,1
430,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
431,0,1,1,2,2,1,1,1,1,0,1,1,2,1,0,0,1
432,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
433,0,1,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0
