,height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,target
431,4,115,460,28.75,0.426,0.487,17.82,196,224,11,1
432,7,16,112,2.286,0.42,0.768,2.14,47,86,22,0
433,7,100,700,14.286,0.411,0.849,1.83,288,594,157,0
434,12,8,96,0.667,0.448,0.656,4.3,43,63,10,0
435,12,8,96,0.667,0.615,0.969,5.9,59,93,10,0
436,12,8,96,0.667,0.479,0.5,46.0,46,48,1,0
437,12,8,96,0.667,0.792,1.0,15.2,76,96,5,0
438,12,7,84,0.583,0.56,1.0,5.22,47,84,9,0
439,12,23,276,1.917,0.417,0.623,8.21,115,172,14,0
440,311,463,143993,1.489,0.088,0.16,3.93,12631,23092,3212,3
441,14,18,252,1.286,0.159,0.607,3.33,40,153,12,0
442,10,51,510,5.1,0.306,0.855,2.29,156,436,68,0
443,9,24,216,2.667,0.537,1.0,2.9,116,216,40,0
444,10,22,220,2.2,0.336,0.836,2.74,74,184,27,0
445,9,37,333,4.111,0.538,0.901,2.8,179,300,64,0
446,37,101,3737,2.73,0.282,0.695,2.44,1053,2596,432,0
447,10,34,340,3.4,0.421,0.906,2.01,143,308,71,0
448,11,98,1078,8.909,0.317,0.643,2.8,342,693,122,0
449,12,83,996,6.917,0.301,0.814,1.99,300,811,151,0
450,34,114,3876,3.353,0.105,0.301,2.59,406,1166,157,0
451,12,101,1212,8.417,0.292,0.792,1.99,354,960,178,0
452,10,87,870,8.7,0.344,0.901,2.27,299,784,132,0
453,10,98,980,9.8,0.376,0.861,2.1,368,844,175,0
454,10,84,840,8.4,0.356,0.849,2.47,299,713,121,0
455,9,47,423,5.222,0.492,0.948,2.42,208,401,86,0
456,9,33,297,3.667,0.458,0.983,2.19,136,292,62,0
457,10,78,780,7.8,0.381,0.856,2.52,297,668,118,0
458,12,8,96,0.667,0.292,1.0,3.11,28,96,9,0
459,12,43,516,3.583,0.357,0.849,2.71,184,438,68,0
460,11,86,946,7.818,0.332,0.808,2.2,314,764,143,0
461,9,5,45,0.556,0.711,0.889,10.67,32,40,3,0
462,12,146,1752,12.167,0.091,0.128,26.67,160,225,6,3
463,17,2,34,0.118,0.706,0.706,24.0,24,24,1,2
464,9,7,63,0.778,0.349,0.683,2.2,22,43,10,0
465,8,21,168,2.625,0.31,0.744,1.68,52,125,31,0
466,9,121,1089,13.444,0.399,0.843,2.4,434,918,181,0
467,11,118,1298,10.727,0.348,0.797,2.71,452,1035,167,0
468,10,37,370,3.7,0.354,0.708,3.2,131,262,41,0
469,10,47,470,4.7,0.336,0.628,2.26,158,295,70,0
470,11,92,1012,8.364,0.361,0.851,2.3,365,861,159,0
471,10,21,210,2.1,0.362,0.819,2.11,76,172,36,0
472,9,47,423,5.222,0.371,0.865,2.75,157,366,57,0
473,9,41,369,4.556,0.507,0.992,3.28,187,366,57,0
474,10,18,180,1.8,0.511,0.872,2.97,92,157,31,0
475,9,47,423,5.222,0.385,0.917,2.51,163,388,65,0
476,9,41,369,4.556,0.444,0.976,2.88,164,360,57,0
477,9,45,405,5.0,0.425,0.938,2.77,172,380,62,0
478,1,48,48,48.0,0.875,1.0,10.5,42,48,4,1
479,1,29,29,29.0,0.586,1.0,2.13,17,29,8,1
480,1,17,17,17.0,0.412,1.0,1.75,7,17,4,1
481,8,46,368,5.75,0.318,0.818,2.09,117,301,56,0
482,7,31,217,4.429,0.295,0.857,1.64,64,186,39,0
483,6,17,102,2.833,0.314,0.686,2.29,32,70,14,0
484,8,59,472,7.375,0.292,0.888,1.82,138,419,76,0
485,7,17,119,2.429,0.387,0.857,2.71,46,102,17,0
486,8,28,224,3.5,0.259,0.844,1.93,58,189,30,0
487,8,45,360,5.625,0.206,0.789,1.8,74,284,41,0
488,11,123,1353,11.182,0.25,0.514,1.95,338,695,173,0
489,11,9,99,0.818,0.465,0.768,3.83,46,76,12,0
490,11,8,88,0.727,0.602,1.0,4.08,53,88,13,0
491,11,61,671,5.545,0.361,0.614,5.04,242,412,48,0
492,28,330,9240,11.786,0.057,0.066,31.0,527,614,17,1
493,212,464,98368,2.189,0.052,0.07,11.84,5066,6884,428,3
494,10,38,380,3.8,0.432,0.939,2.78,164,357,59,0
495,9,36,324,4.0,0.556,0.923,3.21,180,299,56,0
496,9,98,882,10.889,0.491,0.974,2.78,433,859,156,0
497,9,21,189,2.333,0.487,0.857,3.29,92,162,28,0
498,10,49,490,4.9,0.59,0.982,3.11,289,481,93,0
499,3,286,858,95.333,0.406,0.427,87.0,348,366,4,1
500,9,23,207,2.556,0.3,1.0,1.51,62,207,41,0
501,9,37,333,4.111,0.39,0.811,2.03,130,270,64,0
502,10,21,210,2.1,0.348,0.757,3.17,73,159,23,0
503,9,79,711,8.778,0.343,0.899,2.2,244,639,111,0
504,10,66,660,6.6,0.324,0.78,2.25,214,515,95,0
505,9,34,306,3.778,0.412,0.902,1.91,126,276,66,0
506,9,82,738,9.111,0.428,0.936,2.38,316,691,133,0
507,10,79,790,7.9,0.347,0.784,2.25,274,619,122,0
508,12,98,1176,8.167,0.267,0.627,2.33,314,737,135,0
509,10,83,830,8.3,0.357,0.813,2.28,296,675,130,0
510,10,11,110,1.1,0.427,1.0,1.52,47,110,31,0
511,10,53,530,5.3,0.343,0.811,2.0,182,430,91,0
512,12,85,1020,7.083,0.305,0.828,1.94,311,845,160,0
513,9,82,738,9.111,0.408,0.924,2.39,301,682,126,0
514,10,80,800,8.0,0.308,0.838,2.02,246,670,122,0
515,12,102,1224,8.5,0.292,0.764,2.09,357,935,171,0
516,9,82,738,9.111,0.374,0.866,2.3,276,639,120,0
517,23,26,598,1.13,0.278,0.96,1.8,166,574,92,0
518,23,47,1081,2.043,0.315,0.747,2.2,341,808,155,0
519,9,99,891,11.0,0.38,0.93,1.92,339,829,177,0
520,9,83,747,9.222,0.292,0.909,2.42,218,679,90,0
521,10,34,340,3.4,0.388,0.891,2.1,132,303,63,0
522,9,82,738,9.111,0.37,0.924,2.39,273,682,114,0
523,12,13,156,1.083,0.391,0.981,2.35,61,153,26,0
524,12,8,96,0.667,0.302,1.0,2.9,29,96,10,0
525,12,42,504,3.5,0.355,0.788,2.71,179,397,66,0
526,10,86,860,8.6,0.326,0.844,1.85,280,726,151,0
527,9,76,684,8.444,0.38,0.95,2.2,260,650,118,0
528,9,6,54,0.667,0.667,0.759,18.0,36,41,2,0
529,10,65,650,6.5,0.475,0.971,2.76,309,631,112,0
530,9,36,324,4.0,0.586,0.948,3.45,190,307,55,0
531,9,7,63,0.778,0.302,0.603,1.9,19,38,10,0
532,9,22,198,2.444,0.389,0.843,1.93,77,167,40,0
533,10,99,990,9.9,0.473,0.917,2.93,468,908,160,0
534,9,85,765,9.444,0.395,0.846,2.32,302,647,130,0
535,9,32,288,3.556,0.382,0.792,2.16,110,228,51,0
536,11,100,1100,9.091,0.473,0.882,3.29,520,970,158,0
537,23,118,2714,5.13,0.293,0.784,2.06,795,2129,385,0
538,11,125,1375,11.364,0.432,0.804,3.03,594,1105,196,0
539,10,85,850,8.5,0.324,0.675,2.25,275,574,122,0
540,10,43,430,4.3,0.458,0.94,3.58,197,404,55,0
541,10,48,480,4.8,0.331,0.742,2.37,159,356,67,0
542,9,40,360,4.444,0.483,0.992,2.85,174,357,61,0
543,9,44,396,4.889,0.449,0.879,2.97,178,348,60,0
544,9,47,423,5.222,0.371,0.825,2.75,157,349,57,0
545,9,42,378,4.667,0.429,0.976,2.75,162,369,59,0
546,1,18,18,18.0,0.944,1.0,17.0,17,18,1,1
547,1,7,7,7.0,1.0,1.0,7.0,7,7,1,1
548,1,117,117,117.0,0.393,1.0,5.75,46,117,8,1
549,10,42,420,4.2,0.317,0.85,2.22,133,357,60,0
550,24,340,8160,14.167,0.211,0.468,2.67,1718,3822,643,0
551,1,77,77,77.0,0.403,1.0,5.17,31,77,6,1
552,1,40,40,40.0,0.875,1.0,11.67,35,40,3,1
553,10,130,1300,13.0,0.486,0.856,3.18,632,1113,199,0
554,1,28,28,28.0,0.964,1.0,27.0,27,28,1,1
555,1,35,35,35.0,0.829,1.0,9.67,29,35,3,1
556,6,13,78,2.167,0.128,0.577,1.67,10,45,6,0
557,7,18,126,2.571,0.119,0.452,2.14,15,57,7,0
558,7,42,294,6.0,0.293,0.857,2.61,86,252,33,0
559,7,31,217,4.429,0.267,0.714,2.15,58,155,27,0
560,7,16,112,2.286,0.241,0.634,2.45,27,71,11,0
561,7,23,161,3.286,0.093,0.54,1.36,15,87,11,0
562,7,8,56,1.143,0.161,0.518,1.8,9,29,5,0
563,7,2,14,0.286,0.5,0.929,7.0,7,13,1,0
564,7,7,49,1.0,0.327,0.898,2.29,16,44,7,0
565,6,11,66,1.833,0.197,0.848,1.3,13,56,10,0
566,7,121,847,17.286,0.276,0.607,1.79,234,514,131,0
567,11,21,231,1.909,0.468,0.719,7.2,108,166,15,0
568,11,9,99,0.818,0.515,0.768,8.5,51,76,6,0
569,10,8,80,0.8,0.4,0.7,4.0,32,56,8,0
570,11,8,88,0.727,0.727,0.989,10.67,64,87,6,0
571,11,7,77,0.636,0.468,0.481,36.0,36,37,1,0
572,11,8,88,0.727,0.693,0.989,10.17,61,87,6,0
573,1,14,14,14.0,0.571,1.0,2.0,8,14,4,1
574,9,38,342,4.222,0.444,0.898,2.71,152,307,56,0
575,9,20,180,2.222,0.461,1.0,2.59,83,180,32,0
576,9,36,324,4.0,0.506,0.901,2.83,164,292,58,0
577,11,98,1078,8.909,0.397,0.778,2.61,428,839,164,0
578,9,49,441,5.444,0.592,0.998,2.97,261,440,88,0
579,1,23,23,23.0,0.826,1.0,19.0,19,23,1,1
580,1,19,19,19.0,0.684,1.0,4.33,13,19,3,1
581,9,78,702,8.667,0.329,0.896,2.1,231,629,110,0
582,8,14,112,1.75,0.143,1.0,2.67,16,112,6,0
583,21,106,2226,5.048,0.136,0.396,1.99,302,881,152,0
584,8,24,192,3.0,0.297,0.974,1.43,57,187,40,0
585,8,36,288,4.5,0.465,0.885,2.13,134,255,63,0
586,9,22,198,2.444,0.318,0.909,2.42,63,180,26,0
587,9,12,108,1.333,0.407,1.0,1.63,44,108,27,0
588,9,6,54,0.667,0.37,0.907,2.5,20,49,8,0
589,8,38,304,4.75,0.349,0.757,1.93,106,230,55,0
590,9,34,306,3.778,0.31,0.895,1.61,95,274,59,0
591,9,12,108,1.333,0.407,1.0,1.57,44,108,28,0
592,9,63,567,7.0,0.298,0.787,2.01,169,446,84,0
593,9,104,936,11.556,0.282,0.904,1.93,264,846,137,0
594,11,75,825,6.818,0.27,0.679,2.08,223,560,107,0
595,8,17,136,2.125,0.309,0.676,2.33,42,92,18,0
596,9,82,738,9.111,0.309,0.778,1.93,228,574,118,0
597,8,16,128,2.0,0.156,0.859,5.0,20,110,4,3
598,8,12,96,1.5,0.469,1.0,1.61,45,96,28,0
599,8,53,424,6.625,0.337,0.889,1.64,143,377,87,0
600,11,85,935,7.727,0.268,0.902,1.73,251,843,145,0
601,10,12,120,1.2,0.367,1.0,1.57,44,120,28,0
602,10,63,630,6.3,0.251,0.898,1.84,158,566,86,0
603,9,82,738,9.111,0.32,0.947,2.13,236,699,111,0
604,9,10,90,1.111,0.144,0.522,6.5,13,47,2,3
605,12,102,1224,8.5,0.257,0.804,1.77,315,984,178,0
606,12,90,1080,7.5,0.183,0.716,1.92,198,773,103,0
607,12,26,312,2.167,0.224,0.907,1.63,70,283,43,0
608,12,41,492,3.417,0.289,0.74,2.06,142,364,69,0
609,8,99,792,12.375,0.351,0.962,1.66,278,762,167,0
610,9,81,729,9.0,0.287,0.826,2.22,209,602,94,0
611,8,26,208,3.25,0.37,0.947,1.79,77,197,43,0
612,9,46,414,5.111,0.365,0.848,2.01,151,351,75,0
613,9,34,306,3.778,0.363,0.863,1.76,111,264,63,0
614,12,26,312,2.167,0.276,0.83,2.21,86,259,39,0
615,12,43,516,3.583,0.328,0.789,2.56,169,407,66,0
616,8,75,600,9.375,0.373,0.955,1.95,224,573,115,0
617,11,86,946,7.818,0.289,0.701,1.98,273,663,138,0
618,1,79,79,79.0,0.608,1.0,6.86,48,79,7,1
619,8,6,48,0.75,0.583,0.813,7.0,28,39,4,0
620,1,11,11,11.0,0.727,1.0,4.0,8,11,2,1
621,1,98,98,98.0,0.939,1.0,30.67,92,98,3,1
622,1,13,13,13.0,0.692,1.0,3.0,9,13,3,1
623,9,64,576,7.111,0.491,0.984,2.57,283,567,110,0
624,8,36,288,4.5,0.559,0.944,3.04,161,272,53,0
625,8,8,64,1.0,0.25,0.672,1.6,16,43,10,0
626,8,21,168,2.625,0.381,0.845,1.88,64,142,34,0
627,9,99,891,11.0,0.461,0.906,2.65,411,807,155,0
628,9,121,1089,13.444,0.322,0.776,2.08,351,845,169,0
629,9,100,900,11.111,0.463,0.908,2.92,417,817,143,0
630,11,118,1298,10.727,0.29,0.798,1.99,376,1036,189,0
631,9,126,1134,14.0,0.466,0.907,2.84,528,1029,186,0
632,12,117,1404,9.75,0.251,0.635,1.86,353,891,190,0
633,8,14,112,1.75,0.268,0.554,3.0,30,62,10,0
634,8,71,568,8.875,0.329,0.776,1.83,187,441,102,0
635,8,44,352,5.5,0.455,0.949,3.2,160,334,50,0
636,8,48,384,6.0,0.328,0.885,2.0,126,340,63,0
637,8,40,320,5.0,0.409,0.997,2.22,131,319,59,0
638,9,45,405,5.0,0.447,0.896,3.23,181,363,56,0
639,8,47,376,5.875,0.324,0.896,2.18,122,337,56,0
640,8,42,336,5.25,0.39,0.94,2.43,131,316,54,0
641,1,17,17,17.0,0.824,1.0,4.67,14,17,3,1
642,8,43,344,5.375,0.372,0.956,2.1,128,329,61,0
643,14,300,4200,21.429,0.263,0.607,2.39,1106,2550,462,0
644,7,35,245,5.0,0.482,0.841,2.81,118,206,42,0
645,9,122,1098,13.556,0.333,0.829,2.54,366,910,144,0
646,9,130,1170,14.444,0.448,0.877,2.63,524,1026,199,0
647,8,45,360,5.625,0.222,0.806,1.9,80,290,42,0
648,7,31,217,4.429,0.221,0.853,1.78,48,185,27,0
649,3,14,42,4.667,0.381,0.881,3.2,16,37,5,0
650,8,18,144,2.25,0.215,0.813,2.38,31,117,13,0
651,7,58,406,8.286,0.212,0.842,2.26,86,342,38,0
652,7,40,280,5.714,0.186,0.754,2.26,52,211,23,0
653,6,28,168,4.667,0.143,0.53,1.71,24,89,14,0
654,4,15,60,3.75,0.267,0.8,4.0,16,48,4,0
655,14,38,532,2.714,0.244,0.489,2.95,130,260,44,0
656,15,31,465,2.067,0.204,0.465,3.96,95,216,24,0
657,13,77,1001,5.923,0.258,0.564,3.04,258,565,85,0
658,13,33,429,2.538,0.245,0.534,3.89,105,229,27,0
659,10,19,190,1.9,0.332,0.695,3.71,63,132,17,0
660,7,121,847,17.286,0.305,0.675,1.79,258,572,144,0
661,11,22,242,2.0,0.417,0.694,4.04,101,168,25,0
662,11,9,99,0.818,0.404,0.717,4.44,40,71,9,0
663,11,8,88,0.727,0.545,1.0,3.2,48,88,15,0
664,11,21,231,1.909,0.316,0.58,4.29,73,134,17,0
665,10,8,80,0.8,0.525,0.875,7.0,42,70,6,0
666,52,461,23972,8.865,0.192,0.248,11.52,4607,5938,400,3
667,10,38,380,3.8,0.424,0.939,2.78,161,357,58,0
668,9,36,324,4.0,0.506,0.91,2.93,164,295,56,0
669,9,21,189,2.333,0.519,0.942,3.27,98,178,30,0
670,9,97,873,10.778,0.455,0.939,2.28,397,820,174,0
671,9,49,441,5.444,0.58,0.995,2.98,256,439,86,0
672,1,15,15,15.0,0.867,1.0,6.5,13,15,2,1
673,9,23,207,2.556,0.324,0.986,1.63,67,204,41,0
674,9,37,333,4.111,0.396,0.85,2.03,132,283,65,0
675,9,21,189,2.333,0.317,0.778,2.61,60,147,23,0
676,9,91,819,10.111,0.302,0.956,1.98,247,783,125,0
677,10,67,670,6.7,0.291,0.649,2.17,195,435,90,0
678,9,32,288,3.556,0.354,0.806,1.7,102,232,60,0
679,9,92,828,10.222,0.35,0.917,2.07,290,759,140,0
680,9,12,108,1.333,0.444,1.0,1.78,48,108,27,0
681,9,64,576,7.111,0.318,0.818,2.18,183,471,84,0
682,12,98,1176,8.167,0.245,0.624,2.23,288,734,129,0
683,9,100,900,11.111,0.276,0.847,1.91,248,762,130,0
684,9,12,108,1.333,0.426,1.0,1.59,46,108,29,0
685,9,53,477,5.889,0.317,0.805,1.66,151,384,91,0
686,11,84,924,7.636,0.291,0.843,1.74,269,779,155,0
687,9,81,729,9.0,0.337,0.918,1.97,246,669,125,0
688,9,13,117,1.444,0.103,0.752,4.0,12,88,3,1
689,10,80,800,8.0,0.279,0.8,1.92,223,640,116,0
690,11,101,1111,9.182,0.264,0.852,1.65,293,947,178,0
691,9,81,729,9.0,0.332,0.974,2.09,242,710,116,0
692,9,9,81,1.0,0.16,0.864,1.63,13,70,8,0
693,12,72,864,6.0,0.281,0.807,2.15,243,697,113,0
694,9,84,756,9.333,0.25,0.955,1.83,189,722,103,0
695,9,52,468,5.778,0.37,0.996,1.71,173,466,101,0
696,9,41,369,4.556,0.374,0.846,2.06,138,312,67,0
697,9,27,243,3.0,0.346,0.975,1.87,84,237,45,0
698,10,46,460,4.6,0.363,0.843,2.01,167,388,83,0
699,9,33,297,3.667,0.424,0.97,1.85,126,288,68,0
700,9,81,729,9.0,0.328,0.916,2.04,239,668,117,0
701,6,7,42,1.167,0.238,0.69,10.0,10,29,1,1
702,11,14,154,1.273,0.442,0.981,2.43,68,151,28,0
703,11,8,88,0.727,0.261,1.0,2.09,23,88,11,0
704,11,43,473,3.909,0.336,0.753,2.74,159,356,58,0
705,9,75,675,8.333,0.373,0.913,2.23,252,616,113,0
706,12,48,576,4.0,0.252,0.755,1.71,145,435,85,0
707,9,9,81,1.0,0.383,0.802,2.38,31,65,13,0
708,8,18,144,2.25,0.472,1.0,2.52,68,144,27,0
709,7,6,42,0.857,0.5,0.548,21.0,21,23,1,0
710,76,1,76,0.013,1.0,1.0,76.0,76,76,1,2
711,10,64,640,6.4,0.477,0.914,2.8,305,585,109,0
712,8,36,288,4.5,0.615,0.938,3.22,177,270,55,0
713,8,33,264,4.125,0.314,0.705,2.13,83,186,39,0
714,10,99,990,9.9,0.443,0.912,2.64,439,903,166,0
715,10,122,1220,12.2,0.294,0.689,2.1,359,840,171,0
716,10,101,1010,10.1,0.45,0.869,2.95,455,878,154,0
717,12,118,1416,9.833,0.266,0.734,1.99,377,1039,189,0
718,10,125,1250,12.5,0.456,0.862,2.92,570,1078,195,0
719,12,117,1404,9.75,0.231,0.712,1.68,324,1000,193,0
720,9,85,765,9.444,0.308,0.744,1.95,236,569,121,0
721,9,43,387,4.778,0.47,0.948,3.31,182,367,55,0
722,9,47,423,5.222,0.286,0.738,1.95,121,312,62,0
723,9,40,360,4.444,0.386,0.889,2.44,139,320,57,0
724,8,44,352,5.5,0.486,0.952,2.95,171,335,58,0
725,9,46,414,5.111,0.29,0.838,2.18,120,347,55,0
726,9,42,378,4.667,0.381,0.931,2.48,144,352,58,0
727,1,37,37,37.0,0.811,1.0,6.0,30,37,5,1
728,1,46,46,46.0,0.239,1.0,1.38,11,46,8,1
729,1,42,42,42.0,0.31,1.0,2.6,13,42,5,1
730,9,42,378,4.667,0.344,0.931,2.13,130,352,61,0
731,15,300,4500,20.0,0.252,0.576,2.36,1136,2594,481,0
732,6,35,210,5.833,0.533,0.943,2.67,112,198,42,0
733,9,122,1098,13.556,0.378,0.961,2.73,415,1055,152,0
734,2,176,352,88.0,0.528,0.605,31.0,186,213,6,1
735,69,3,207,0.043,0.643,0.952,2.08,133,197,64,2
736,9,130,1170,14.444,0.513,0.925,2.86,600,1082,210,0
737,1,17,17,17.0,0.882,1.0,7.5,15,17,2,1
738,1,39,39,39.0,0.897,1.0,8.75,35,39,4,1
739,1,44,44,44.0,0.909,1.0,20.0,40,44,2,1
740,1,14,14,14.0,0.929,1.0,13.0,13,14,1,1
741,1,36,36,36.0,0.583,1.0,4.2,21,36,5,1
742,1,17,17,17.0,0.765,1.0,6.5,13,17,2,1
743,2,52,104,26.0,0.144,0.702,2.5,15,73,6,0
744,4,17,68,4.25,0.309,0.559,3.5,21,38,6,0
745,5,31,155,6.2,0.239,0.974,2.06,37,151,18,0
746,5,23,115,4.6,0.226,1.0,1.63,26,115,16,0
747,5,44,220,8.8,0.241,0.791,2.52,53,174,21,0
748,3,56,168,18.667,0.065,0.5,1.38,11,84,8,0
749,4,32,128,8.0,0.313,1.0,2.11,40,128,19,0
750,5,16,80,3.2,0.313,0.813,2.08,25,65,12,0
751,2,14,28,7.0,0.286,0.821,8.0,8,23,1,1
752,3,183,549,61.0,0.488,0.577,29.78,268,317,9,1
753,17,77,1309,4.529,0.314,0.76,2.94,411,995,140,0
754,14,34,476,2.429,0.279,0.851,3.09,133,405,43,0
755,11,22,242,2.0,0.293,0.798,2.37,71,193,30,0
756,11,67,737,6.091,0.269,0.689,2.96,198,508,67,0
757,7,123,861,17.571,0.265,0.626,1.66,228,539,137,0
758,12,8,96,0.667,0.438,0.51,42.0,42,49,1,0
759,12,8,96,0.667,0.51,0.927,7.0,49,89,7,0
760,12,9,108,0.75,0.509,0.657,9.17,55,71,6,0
761,11,9,99,0.818,0.545,0.818,9.0,54,81,6,0
762,11,9,99,0.818,0.384,0.727,3.8,38,72,10,0
763,11,8,88,0.727,0.716,1.0,7.88,63,88,8,0
764,11,8,88,0.727,0.705,1.0,8.86,62,88,7,0
765,1,29,29,29.0,1.0,1.0,29.0,29,29,1,1
766,1,14,14,14.0,0.929,1.0,13.0,13,14,1,1
767,1,45,45,45.0,0.933,1.0,21.0,42,45,2,1
768,9,39,351,4.333,0.444,0.923,2.74,156,324,57,0
769,9,21,189,2.333,0.497,0.958,3.62,94,181,26,0
770,10,97,970,9.7,0.423,0.832,2.48,410,807,165,0
771,9,36,324,4.0,0.577,0.948,3.02,187,307,62,0
772,25,300,7500,12.0,0.065,0.071,40.33,484,531,12,1
773,10,49,490,4.9,0.529,0.939,3.01,259,460,86,0
774,2,50,100,25.0,0.46,0.51,15.33,46,51,3,1
775,9,79,711,8.778,0.323,0.873,2.19,230,621,105,0
776,9,24,216,2.667,0.356,0.907,2.2,77,196,35,0
777,9,37,333,4.111,0.444,0.898,2.08,148,299,71,0
778,9,21,189,2.333,0.365,0.905,2.3,69,171,30,0
779,9,81,729,9.0,0.357,0.863,2.22,260,629,117,0
780,10,67,670,6.7,0.3,0.745,2.14,201,499,94,0
781,8,32,256,4.0,0.402,0.898,1.81,103,230,57,0
782,7,11,77,1.571,0.143,0.558,1.57,11,43,7,0
783,9,99,891,11.0,0.288,0.801,1.95,257,714,132,0
784,9,12,108,1.333,0.444,1.0,1.85,48,108,26,0
785,9,64,576,7.111,0.307,0.842,1.99,177,485,89,0
786,11,94,1034,8.545,0.257,0.604,2.18,266,625,122,0
787,12,2,24,0.167,0.625,0.667,15.0,15,16,1,2
788,9,99,891,11.0,0.312,0.826,2.16,278,736,129,0
789,12,83,996,6.917,0.253,0.756,1.75,252,753,144,0
790,8,12,96,1.5,0.438,1.0,1.5,42,96,28,0
791,8,54,432,6.75,0.35,0.887,1.74,151,383,87,0
792,9,95,855,10.556,0.284,0.849,1.91,243,726,127,0
793,9,12,108,1.333,0.38,1.0,1.46,41,108,28,0
794,9,64,576,7.111,0.302,0.92,1.98,174,530,88,0
795,11,101,1111,9.182,0.267,0.849,1.72,297,943,173,0
796,11,82,902,7.455,0.236,0.814,1.97,213,734,108,0
797,12,73,876,6.083,0.259,0.743,2.1,227,651,108,0
798,10,98,980,9.8,0.3,0.781,1.72,294,765,171,0
799,9,81,729,9.0,0.322,0.819,2.22,235,597,106,0
800,9,27,243,3.0,0.346,0.951,1.95,84,231,43,0
801,9,47,423,5.222,0.404,0.943,1.99,171,399,86,0
802,9,32,288,3.556,0.413,0.993,1.72,119,286,69,0
803,9,75,675,8.333,0.369,0.936,2.09,249,632,119,0
804,12,27,324,2.25,0.318,0.898,2.64,103,291,39,0
805,12,43,516,3.583,0.31,0.793,2.32,160,409,69,0
806,12,61,732,5.083,0.251,0.746,1.77,184,546,104,0
807,10,19,190,1.9,0.363,0.837,2.46,69,159,28,0
808,2,204,408,102.0,0.412,0.681,10.5,168,278,16,1
809,10,29,290,2.9,0.221,0.572,3.56,64,166,18,0
810,9,65,585,7.222,0.463,0.901,2.66,271,527,102,0
811,9,36,324,4.0,0.565,0.944,3.16,183,306,58,0
812,9,21,189,2.333,0.323,0.81,1.79,61,153,34,0
813,8,7,56,0.875,0.321,0.429,6.0,18,24,3,0
814,10,100,1000,10.0,0.444,0.924,2.64,444,924,168,0
815,9,32,288,3.556,0.299,0.691,2.1,86,199,41,0
816,9,83,747,9.222,0.335,0.843,2.05,250,630,122,0
817,10,101,1010,10.1,0.442,0.855,2.92,446,864,153,0
818,12,118,1416,9.833,0.255,0.7,2.06,361,991,175,0
819,10,126,1260,12.6,0.456,0.875,2.98,575,1103,193,0
820,9,86,774,9.556,0.337,0.757,2.19,261,586,119,0
821,11,116,1276,10.545,0.274,0.804,1.8,350,1026,194,0
822,9,43,387,4.778,0.481,0.953,3.15,186,369,59,0
823,8,46,368,5.75,0.315,0.938,1.78,116,345,65,0
824,8,41,328,5.125,0.393,0.976,2.19,129,320,59,0
825,10,44,440,4.4,0.441,0.92,2.94,194,405,66,0
826,9,45,405,5.0,0.319,0.923,2.11,129,374,61,0
827,9,42,378,4.667,0.347,0.915,2.34,131,346,56,0
828,1,35,35,35.0,0.857,1.0,10.0,30,35,3,1
829,19,455,8645,23.947,0.081,0.095,33.48,703,821,21,0
830,8,43,344,5.375,0.392,0.927,2.21,135,319,61,0
831,14,301,4214,21.5,0.257,0.564,2.37,1084,2378,458,0
832,7,35,245,5.0,0.494,0.902,2.57,121,221,47,0
833,9,123,1107,13.667,0.359,0.898,2.78,397,994,143,0
834,6,142,852,23.667,0.115,0.173,6.53,98,147,15,1
835,261,30,7830,0.115,0.063,0.09,2.4,492,701,205,2
836,10,130,1300,13.0,0.453,0.822,2.78,589,1069,212,0
837,1,14,14,14.0,0.857,1.0,12.0,12,14,1,1
838,8,3,24,0.375,0.458,0.667,2.2,11,16,5,0
839,8,5,40,0.625,0.325,0.9,6.5,13,36,2,0
840,8,14,112,1.75,0.321,0.938,1.71,36,105,21,0
841,8,50,400,6.25,0.253,0.8,2.3,101,320,44,0
842,8,3,24,0.375,0.5,0.667,3.0,12,16,4,0
843,8,23,184,2.875,0.255,1.0,2.14,47,184,22,0
844,8,15,120,1.875,0.258,0.683,3.88,31,82,8,0
845,8,14,112,1.75,0.277,0.643,2.82,31,72,11,0
846,6,2,12,0.333,0.667,1.0,8.0,8,12,1,0
847,8,21,168,2.625,0.208,0.762,2.92,35,128,12,0
848,7,6,42,0.857,0.333,0.762,4.67,14,32,3,0
849,7,2,14,0.286,0.643,0.929,2.25,9,13,4,0
850,8,3,24,0.375,0.458,0.708,2.75,11,17,4,0
851,7,14,98,2.0,0.327,0.99,2.67,32,97,12,0
852,8,59,472,7.375,0.206,0.691,3.13,97,326,31,0
853,7,121,847,17.286,0.272,0.646,1.54,230,547,149,0
854,11,9,99,0.818,0.465,0.687,5.75,46,68,8,0
855,10,8,80,0.8,0.675,1.0,9.0,54,80,6,0
856,10,7,70,0.7,0.429,0.429,30.0,30,30,1,0
857,10,8,80,0.8,0.688,1.0,9.17,55,80,6,0
858,10,8,80,0.8,0.6,1.0,6.0,48,80,8,0
859,10,9,90,0.9,0.522,0.656,9.4,47,59,5,0
860,10,8,80,0.8,0.575,0.888,9.2,46,71,5,0
861,1,69,69,69.0,0.841,1.0,8.29,58,69,7,1
862,10,38,380,3.8,0.397,0.887,2.7,151,337,56,0
863,9,36,324,4.0,0.491,0.84,3.31,159,272,48,0
